Euclidean | Truncating | Calculation | BTERN Quot | BTERN rem | INTEGER Quot | INTEGER rem
etrue | ttrue | 8 / 1 | 8 | 0 | 8 | 0
etrue | ttrue | 8 / 2 | 4 | 0 | 4 | 0
etrue | ttrue | 8 / 3 | 2 | 2 | 2 | 2
etrue | ttrue | 8 / 4 | 2 | 0 | 2 | 0
etrue | ttrue | 8 / 5 | 1 | 3 | 1 | 3
etrue | ttrue | 8 / 6 | 1 | 2 | 1 | 2
etrue | ttrue | 8 / 7 | 1 | 1 | 1 | 1
etrue | ttrue | 8 / 8 | 1 | 0 | 1 | 0
etrue | ttrue | 8 / 9 | 0 | 8 | 0 | 8
etrue | ttrue | 8 / 10 | 0 | 8 | 0 | 8
etrue | ttrue | 9 / 1 | 9 | 0 | 9 | 0
etrue | ttrue | 9 / 2 | 4 | 1 | 4 | 1
etrue | ttrue | 9 / 3 | 3 | 0 | 3 | 0
etrue | ttrue | 9 / 4 | 2 | 1 | 2 | 1
etrue | ttrue | 9 / 5 | 1 | 4 | 1 | 4
etrue | ttrue | 9 / 6 | 1 | 3 | 1 | 3
etrue | ttrue | 9 / 7 | 1 | 2 | 1 | 2
etrue | ttrue | 9 / 8 | 1 | 1 | 1 | 1
etrue | ttrue | 9 / 9 | 1 | 0 | 1 | 0
etrue | ttrue | 9 / 10 | 0 | 9 | 0 | 9
etrue | ttrue | 10 / 1 | 10 | 0 | 10 | 0
etrue | ttrue | 10 / 2 | 5 | 0 | 5 | 0
etrue | ttrue | 10 / 3 | 3 | 1 | 3 | 1
etrue | ttrue | 10 / 4 | 2 | 2 | 2 | 2
etrue | ttrue | 10 / 5 | 2 | 0 | 2 | 0
etrue | ttrue | 10 / 6 | 1 | 4 | 1 | 4
etrue | ttrue | 10 / 7 | 1 | 3 | 1 | 3
etrue | ttrue | 10 / 8 | 1 | 2 | 1 | 2
etrue | ttrue | 10 / 9 | 1 | 1 | 1 | 1
etrue | ttrue | 10 / 10 | 1 | 0 | 1 | 0
